year,dem_candidate,rep_candidate
1900,William Jennings Bryan,William McKinley†
1904,Alton B. Parker,Theodore Roosevelt†
1908,William Jennings Bryan,William Howard Taft†
1912,Woodrow Wilson†,William Howard Taft
1916,Woodrow Wilson†,Charles Evans Hughes
1920,James M. Cox,Warren G. Harding†
1924,John W. Davis,Calvin Coolidge†
1928,Al Smith,Herbert Hoover†
1932,Franklin D. Roosevelt†,Herbert Hoover
1936,Franklin D. Roosevelt†,Alf Landon
1940,Franklin D. Roosevelt†,Wendell Willkie
1944,Franklin D. Roosevelt†,Thomas E. Dewey
1948,Harry S. Truman†,Thomas E. Dewey
1952,Adlai Stevenson II,Dwight D. Eisenhower†
1956,Adlai Stevenson II,Dwight D. Eisenhower†
1960,John F. Kennedy†,Richard Nixon
1964,Lyndon B. Johnson†,Barry Goldwater
1968,Hubert Humphrey,Richard Nixon†
1972,George McGovern,Richard Nixon†
1976,Jimmy Carter†,Gerald Ford
1980,Jimmy Carter,Ronald Reagan†
1984,Walter Mondale,Ronald Reagan†
1988,Michael Dukakis,George H. W. Bush†
1992,Bill Clinton†,George H. W. Bush
1996,Bill Clinton†,Bob Dole
2000,Al Gore‡,George W. Bush†
2004,John Kerry,George W. Bush†
2008,Barack Obama†,John McCain
2012,Barack Obama†,Mitt Romney
2016,Hillary Clinton‡,Donald Trump†
2020,Joe Biden†,Donald Trump